country_region,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Brazil,2020-03-06,3.9285714285714284,8.285714285714286,-11.214285714285714,5.464285714285714,17.892857142857142,-1.1428571428571428
Brazil,2020-03-07,6.964285714285714,11.25,-13.392857142857142,1.8928571428571428,6.321428571428571,0.9285714285714286
Brazil,2020-03-08,7.892857142857143,10.285714285714286,-10.785714285714286,-2.857142857142857,3.357142857142857,1.8571428571428572
Brazil,2020-03-09,-1.3214285714285714,3.5,-10.571428571428571,4.25,19.357142857142858,-0.9285714285714286
Brazil,2020-03-10,0.35714285714285715,4.428571428571429,-9.035714285714286,4.892857142857143,18.107142857142858,-1.6785714285714286
Brazil,2020-03-11,-1.2142857142857142,1.0357142857142858,-7.071428571428571,2.607142857142857,17.285714285714285,-1.3214285714285714
Brazil,2020-03-12,-2.5,0.8928571428571429,-7.035714285714286,3.107142857142857,16.428571428571427,-0.75
Brazil,2020-03-13,-1.7857142857142858,3.25,-13.678571428571429,3.5,18.357142857142858,-0.7857142857142857
Brazil,2020-03-14,-2.25,5.642857142857143,-16.035714285714285,-2.5,5.642857142857143,1.5
Brazil,2020-03-15,-9.857142857142858,4.642857142857143,-19.357142857142858,-8.571428571428571,0.5357142857142857,3.0357142857142856
Brazil,2020-03-16,-10.928571428571429,4.321428571428571,-18.535714285714285,-4.857142857142857,13.857142857142858,0.7142857142857143
Brazil,2020-03-17,-16.428571428571427,6.178571428571429,-20.464285714285715,-12.071428571428571,4.071428571428571,2.9642857142857144
Brazil,2020-03-18,-23.535714285714285,3.5,-24.857142857142858,-19.25,-5.214285714285714,6.357142857142857
Brazil,2020-03-19,-34.82142857142857,-2.2142857142857144,-30.571428571428573,-28.642857142857142,-16.928571428571427,9.892857142857142
Brazil,2020-03-20,-42.285714285714285,-1.1428571428571428,-43.42857142857143,-34.32142857142857,-19.464285714285715,12.107142857142858
Brazil,2020-03-21,-61.607142857142854,-14.821428571428571,-58.892857142857146,-46.5,-28.285714285714285,14.428571428571429
Brazil,2020-03-22,-72.75,-32.67857142857143,-67.82142857142857,-59.357142857142854,-32.32142857142857,15.928571428571429
Brazil,2020-03-23,-66.53571428571429,-27.821428571428573,-56.17857142857143,-59.464285714285715,-42.42857142857143,18.857142857142858
Brazil,2020-03-24,-69.75,-33.607142857142854,-57.0,-63.42857142857143,-49.17857142857143,19.785714285714285
Brazil,2020-03-25,-69.25,-33.32142857142857,-54.0,-65.0,-50.17857142857143,20.607142857142858
