country,date,cases
Italy,2020-04-26,186008.83440335223
Italy,2020-04-27,186792.90750514777
Italy,2020-04-28,187494.65318598284
Italy,2020-04-29,188122.17908029293
Italy,2020-04-30,188682.90614489294
Italy,2020-05-01,189183.60279163017
Italy,2020-05-02,189630.42309452358
Italy,2020-05-03,190028.9472658781
Italy,2020-05-04,190384.22299569068
Italy,2020-05-05,190700.80658516937
Italy,2020-05-06,190982.80308349125
Italy,2020-05-07,191233.9048633807
Italy,2020-05-08,191457.4282524779
Italy,2020-05-09,191656.347980464
Italy,2020-05-10,191833.3293127534
Italy,2020-05-11,191990.75782587784
Italy,2020-05-12,192130.76684241788
Italy,2020-05-13,192255.26258872758
Italy,2020-05-14,192365.9471703366
Italy,2020-05-15,192464.33948078792
Italy,2020-05-16,192551.79417223434
Italy,2020-05-17,192629.5188223657
Italy,2020-05-18,192698.58943377607
Italy,2020-05-19,192759.96439997986
Italy,2020-05-20,192814.4970679513
Italy,2020-05-21,192862.9470210741
Italy,2020-05-22,192905.99019934927
Italy,2020-05-23,192944.22796607242
Italy,2020-05-24,192978.19522230537
Italy,2020-05-25,193008.367662569
Italy,2020-05-26,193035.16825746963
Italy,2020-05-27,193058.97304154918
Italy,2020-05-28,193080.11627761094
Italy,2020-05-29,193098.89506216336
Italy,2020-05-30,193115.5734304717
Canada,2020-04-25,44498.4141568032
Canada,2020-04-26,45516.53238334565
Canada,2020-04-27,46452.40042580656
Canada,2020-04-28,47308.955208742154
Canada,2020-04-29,48089.824703458034
Canada,2020-04-30,48799.13459359107
Canada,2020-05-01,49441.335733094034
Canada,2020-05-02,50021.0553703864
Canada,2020-05-03,50542.9730302076
Canada,2020-05-04,51011.72038277793
Canada,2020-05-05,51431.80335841554
Canada,2020-05-06,51807.54411690968
Canada,2020-05-07,52143.040170207576
Canada,2020-05-08,52442.13789844701
Canada,2020-05-09,52708.41781525003
Canada,2020-05-10,52945.18916350384
Canada,2020-05-11,53155.49170684037
Canada,2020-05-12,53342.102887457804
Canada,2020-05-13,53507.54882224437
Canada,2020-05-14,53654.11789021472
Canada,2020-05-15,53783.875916038654
