country_region,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,StringencyIndex,cases,cases_lag_1,cases_lag_2,cases_lag_3,cases_lag_4,cases_lag_5,cases_lag_6,cases_lag_7,cases_lag_8,cases_lag_9,cases_lag_10,cases_lag_11,cases_lag_12,cases_lag_13,cases_lag_14,cases_lag_15,cases_lag_16,cases_lag_17,cases_lag_18,cases_lag_19,deaths,recovered,population,population_density,date+1_pred,date+2_pred,date+3_pred,date+4_pred,date+5_pred,date+6_pred,date+7_pred,date+8_pred,date+9_pred,date+10_pred,date+1_linf,date+2_linf,date+3_linf,date+4_linf,date+5_linf,date+6_linf,date+7_linf,date+8_linf,date+9_linf,date+10_linf,date+1_lsup,date+2_lsup,date+3_lsup,date+4_lsup,date+5_lsup,date+6_lsup,date+7_lsup,date+8_lsup,date+9_lsup,date+10_lsup
Brazil,2020-03-12,-2.5,0.8928571428571429,-7.0357142857142865,3.1071428571428568,16.428571428571427,-0.75,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,26.99,52,38,31,25,20,13,13,4,4,2,2,2,2,1,1,1,0,0,0,0,0,0,211049.519,25.251,60.77071493691777,73.4479187696891,83.20681631214849,95.14580749652605,105.45617994978883,116.9831969179194,127.60133088766727,138.8984374699197,149.6883238606276,160.85712439009797,58.58263870656196,69.9402292298237,77.48845791869631,87.29543262727873,94.98966958562616,103.83541751579176,111.45504466817549,119.63657387687071,127.07513870925342,134.75800635977396,62.958791167273596,76.95560830955448,88.92517470560064,102.99618236577332,115.92269031395156,130.13097632004707,143.7476171071591,158.1603010629687,172.30150901200173,186.95624242042197
Brazil,2020-03-13,-1.7857142857142858,3.25,-13.678571428571427,3.5,18.357142857142858,-0.7857142857142857,3.0,1.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,37.84,151,52,38,31,25,20,13,13,4,4,2,2,2,2,1,1,1,0,0,0,0,0,211049.519,25.251,311.7784565589105,517.4578271743057,755.7714233013942,1017.8037498179865,1297.0749769816432,1588.875529730571,1889.7824636134064,2197.3079642173,2509.6438746642425,2825.476016823177,296.5708186517314,473.28895168304433,668.0741499692685,872.4680762594858,1080.7203093781682,1288.9390922176574,1494.5177679184662,1695.7400557702692,1891.5059514029879,2081.1405094141514,326.9860944660897,561.6267026655671,843.4686966335197,1163.1394233764872,1513.429644585118,1888.811967243485,2285.0471593083457,2698.87587266433,3127.781797925497,3569.8115242322033
Brazil,2020-03-14,-2.25,5.642857142857142,-16.035714285714285,-2.5,5.642857142857142,1.5,3.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,41.81,151,151,52,38,31,25,20,13,13,4,4,2,2,2,2,1,1,1,0,0,0,0,211049.519,25.251,202.72698543163082,249.97600557998982,297.2250257283488,344.47404587670786,391.7230660250668,438.97208617342585,486.2211063217849,533.4701264701439,580.7191466185029,627.9681667668618,185.9034648651065,226.22092584171654,263.2247199730181,297.8660124383311,330.67149123399264,361.9324482954111,391.82900472849917,420.48468093213404,447.991007222444,474.41967247910867,219.5505059981551,273.731085318263,331.2253314836795,391.0820793150845,452.77464081614096,516.0117240514405,580.6132079150707,646.4555720081538,713.4472860145619,781.5166610546153
Brazil,2020-03-15,-9.857142857142858,4.642857142857143,-19.357142857142858,-8.571428571428571,0.5357142857142857,3.0357142857142856,3.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,41.81,162,151,151,52,38,31,25,20,13,13,4,4,2,2,2,2,1,1,1,0,0,0,211049.519,25.251,178.49717503480002,194.99435006960002,211.4915251044001,227.9887001392001,244.48587517400009,260.98305020880014,277.48022524360016,293.9774002784002,310.4745753132002,326.97175034800017,161.2211193314705,168.46449823834126,176.38530754485333,184.39241338356211,192.2868726971373,199.98240158762886,207.43738310025012,214.63112520332368,221.55378061767246,228.20149917251763,195.77323073812957,221.52420190085883,246.5977426639468,271.58498689483804,296.68487765086286,321.9836988299714,347.5230673869502,373.3236753534767,399.39537000872787,425.7420015234828
Brazil,2020-03-16,-10.928571428571427,4.321428571428571,-18.535714285714285,-4.857142857142857,13.857142857142858,0.7142857142857143,3.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,41.81,200,162,151,151,52,38,31,25,20,13,13,4,4,2,2,2,2,1,1,1,0,1,211049.519,25.251,254.24735398870502,312.1347209406436,362.69240401805155,413.2500870954594,463.8077701728674,514.3654532502753,564.9231363276832,615.4808194050911,666.038502482499,716.5961855599069,238.31855510882264,291.20246883565915,338.59287061316326,382.425031143734,423.15979611512046,461.51739182337235,498.004735243184,532.9360973393921,566.5121103409867,598.8693997223363,270.1761528685874,333.066973045628,386.79193742293967,444.07514304718484,504.4557442306143,567.2135146771783,631.8415374121826,698.0255414707902,765.5648946240112,834.3229713974774
Brazil,2020-03-17,-16.428571428571427,6.178571428571429,-20.464285714285715,-12.071428571428573,4.071428571428571,2.9642857142857144,3.0,3.0,2.0,2.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,55.04,321,200,162,151,151,52,38,31,25,20,13,13,4,4,2,2,2,2,1,1,1,2,211049.519,25.251,381.5132454850441,410.46606248059715,492.64639948131827,582.6052717964196,666.4613361364037,747.0287791989444,833.4339413674232,919.8391035359019,1006.2442657043808,1092.6494278728596,366.86621451490265,390.17097926332315,467.92629189924753,552.602974983046,620.6494079269003,683.1406778207466,753.3673135992253,819.6240224889516,882.6831131017508,943.0766063261148,396.1602764551856,430.76114569787114,517.3665070633891,612.6075686097932,712.273264345907,810.9168805771421,913.500569135621,1020.0541845828524,1129.8054183070108,1242.2222494196044
Brazil,2020-03-18,-23.535714285714285,3.5,-24.857142857142854,-19.25,-5.214285714285714,6.357142857142858,3.0,3.0,2.0,3.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,57.03,372,321,200,162,151,151,52,38,31,25,20,13,13,4,4,2,2,2,2,1,3,2,211049.519,25.251,423.2587758639207,501.6566505112832,582.0244619203863,662.3922733294897,742.760084738593,823.1278961476962,903.4957075567996,983.8635189659027,1064.2313303750059,1144.5991417841094,404.45999392766976,477.3687506653102,552.4431763554475,622.4190020868828,688.3700018434232,751.3208092402506,811.889259005735,870.4409403525892,927.2093370179884,982.3563405484787,442.05755780017165,525.9445503572562,611.6057474853254,702.3655445720967,797.150167633763,894.9349830551422,995.1021561078644,1097.2860975792166,1201.2533237320238,1306.8419430197405
Brazil,2020-03-19,-34.82142857142857,-2.2142857142857144,-30.57142857142857,-28.642857142857146,-16.928571428571427,9.892857142857142,3.0,3.0,2.0,3.0,1.0,1.0,2.0,3.0,0.0,1.0,2.0,1.0,0.0,63.78,621,372,321,200,162,151,151,52,38,31,25,20,13,13,4,4,2,2,2,2,6,2,211049.519,25.251,709.5486293003264,928.1207048602694,1041.3269209482385,1239.9174631838205,1369.3159237696427,1554.7849113366146,1694.8165609744024,1871.6688325903813,2018.6831281133536,2189.87693961121,672.6912280317026,870.8404345817763,946.9231199723043,1111.7960931656135,1197.7570448273896,1340.3253579710158,1430.956157097703,1557.6280971428573,1649.6999190706754,1764.5303523907996,746.4060305689502,985.4009751387623,1135.7307219241727,1368.0388332020275,1540.874802711896,1769.2444647022135,1958.6769648511013,2185.7095680379057,2387.666337156033,2615.2235268316213
Brazil,2020-03-20,-42.285714285714285,-1.1428571428571428,-43.42857142857143,-34.32142857142857,-19.464285714285715,12.107142857142858,3.0,3.0,2.0,3.0,1.0,1.0,2.0,3.0,0.0,1.0,2.0,1.0,0.0,63.78,793,621,372,321,200,162,151,151,52,38,31,25,20,13,13,4,4,2,2,2,11,2,211049.519,25.251,1010.2895933017278,1200.9409104809113,1407.2602366451486,1604.364007552491,1806.888151831709,2006.2241596751376,2207.435354564895,2407.543608432667,2608.3005863305884,2808.675999975386,972.2489942240557,1135.1268757068808,1301.699092916506,1456.4452686677582,1610.4515759088708,1757.7135114730331,1902.4775115297,2042.6539439090511,2179.8705925939594,2313.468750682132,1048.3301923794,1266.7549452549415,1512.8213803737915,1752.2827464372244,2003.3247277545472,2254.7348078772425,2512.39319760009,2772.433272956283,3036.7305800672166,3303.88324926864
Brazil,2020-03-21,-61.60714285714285,-14.821428571428573,-58.89285714285714,-46.5,-28.285714285714285,14.428571428571427,3.0,3.0,2.0,3.0,2.0,1.0,2.0,3.0,0.0,1.0,2.0,1.0,0.0,67.74,1021,793,621,372,321,200,162,151,151,52,38,31,25,20,13,13,4,4,2,2,15,2,211049.519,25.251,1215.4602237035965,1430.0082437288502,1632.5251888448875,1842.247840408432,2047.6548172879238,2255.6465578008288,2462.0902198486674,2669.461064135928,2876.2765961928985,3083.424718392344,1177.715727662416,1365.0371225404076,1528.2496756472556,1696.2896938434894,1853.81470962368,2010.5029505904934,2161.2807089999383,2309.585323648855,2453.757765832133,2595.086219573117,1253.204719744777,1494.9793649172925,1736.8007020425193,1988.205986973374,2241.4949249521674,2500.790165011165,2762.899730697396,3029.336804623001,3298.795426553664,3571.763217211571
